account_alias,date_trunc,net,a_reg_week,a_reg_status,n_regs,improper_format,probable_duplicate,approx_alexa
h2,2016-06-28,100.12.225.0/24,2016-05-16,manual,1,f,f,17000
h2,2016-06-28,100.12.225.0/24,2016-05-16,manual,1,f,f,17000
q1,2016-09-04,101.109.180.0/24,2015-03-02,unconfirmed,1,f,f,21500
i2,2016-03-25,101.109.82.0/24,2015-02-16,unconfirmed,1,f,f,7000
i2,2016-03-25,101.109.82.0/24,2015-02-16,unconfirmed,1,f,f,7000
e1,2016-11-14,101.204.71.0/24,2015-03-02,email-clicked,1,f,f,15500
e1,2016-11-14,101.204.71.0/24,2015-03-02,email-clicked,1,f,t,15500
e1,2016-11-14,101.204.71.0/24,2015-03-02,email-clicked,1,f,t,15500
e1,2016-11-14,101.204.71.0/24,2015-03-02,email-clicked,1,f,t,15500
e1,2016-11-14,101.204.71.0/24,2015-03-02,email-clicked,1,f,t,15500
e1,2016-11-14,101.204.71.0/24,2015-03-02,email-clicked,1,f,t,15500
e1,2016-11-14,101.204.71.0/24,2015-03-02,email-clicked,1,f,t,15500
m1,2017-01-12,103.240.35.0/24,2015-03-02,email-clicked,1,f,f,19500
b1,2016-06-21,104.131.21.0/24,2015-03-02,unconfirmed,1,f,f,8000
l1,2016-07-14,104.192.92.0/24,2015-03-02,unconfirmed,1,f,f,10500
d3,2016-10-28,104.200.151.0/24,2015-12-07,email-clicked,1,f,f,20000
m2,2016-08-22,104.244.159.0/24,2015-03-02,email-clicked,1,f,f,19500
f1,2016-11-03,104.37.3.0/24,2015-03-02,email-clicked,1,f,f,18000
f1,2016-11-03,104.37.3.0/24,2015-03-02,email-clicked,1,f,t,18000
m1,2017-01-09,104.41.136.0/24,2015-03-02,email-clicked,1,f,f,19500
i2,2016-08-14,105.106.134.0/24,2015-02-16,unconfirmed,1,f,f,7000
i1,2016-02-10,105.108.9.0/24,2015-02-23,unconfirmed,1,f,f,7000
h2,2016-06-27,105.155.40.0/24,2016-05-16,manual,1,f,f,17000
m2,2016-08-29,105.90.242.0/24,2015-03-02,email-clicked,1,f,f,19500
h2,2016-06-27,105.98.111.0/24,2016-05-16,manual,1,f,f,17000
m2,2016-08-14,106.186.27.0/24,2015-03-02,email-clicked,1,f,f,19500
m2,2016-08-14,106.186.27.0/24,2015-03-02,email-clicked,1,f,f,19500
m2,2016-08-14,106.186.27.0/24,2015-03-02,email-clicked,1,f,f,19500
m2,2016-08-14,106.186.27.0/24,2015-03-02,email-clicked,1,f,f,19500
m2,2016-08-14,106.186.27.0/24,2015-03-02,email-clicked,1,f,f,19500
m2,2016-08-14,106.186.27.0/24,2015-03-02,email-clicked,1,f,f,19500
m2,2016-08-14,106.186.27.0/24,2015-03-02,email-clicked,1,f,f,19500
m2,2016-08-14,106.186.27.0/24,2015-03-02,email-clicked,1,f,f,19500
m2,2016-08-14,106.186.27.0/24,2015-03-02,email-clicked,1,f,f,19500
m2,2016-08-14,106.186.27.0/24,2015-03-02,email-clicked,1,f,f,19500
m2,2016-08-14,106.186.27.0/24,2015-03-02,email-clicked,1,f,f,19500
m2,2016-08-14,106.186.27.0/24,2015-03-02,email-clicked,1,f,f,19500
m1,2016-06-30,106.51.20.0/24,2015-03-02,email-clicked,1,f,f,19500
e1,2016-09-23,106.6.165.0/24,2015-03-02,email-clicked,1,f,f,15500
e1,2016-09-22,106.6.166.0/24,2015-03-02,email-clicked,1,f,f,15500
f1,2016-09-22,106.6.174.0/24,2015-03-02,email-clicked,1,f,f,18000
n1,2016-08-26,107.189.168.0/24,2015-03-02,unconfirmed,1,f,f,11000
m2,2016-08-24,108.175.2.0/24,2015-03-02,email-clicked,1,f,f,19500
b1,2016-08-30,108.2.199.0/24,2015-03-02,unconfirmed,1,f,f,8000
d1,2016-10-31,108.29.154.0/24,2015-03-02,email-clicked,1,f,f,20000
i2,2016-09-20,109.10.41.0/24,2015-02-16,unconfirmed,1,f,f,7000
d3,2017-01-10,109.120.12.0/24,2015-12-07,email-clicked,1,f,f,20000
d3,2017-01-12,109.120.17.0/24,2015-12-07,email-clicked,1,f,f,20000
d3,2017-01-12,109.120.17.0/24,2015-12-07,email-clicked,1,f,f,20000
d3,2017-01-13,109.120.2.0/24,2015-12-07,email-clicked,1,f,f,20000
d3,2017-01-14,109.120.2.0/24,2015-12-07,email-clicked,1,f,f,20000
d3,2017-01-14,109.120.2.0/24,2015-12-07,email-clicked,1,f,f,20000
d3,2017-01-15,109.120.51.0/24,2015-12-07,email-clicked,1,f,f,20000
d3,2017-01-15,109.120.51.0/24,2015-12-07,email-clicked,1,f,f,20000
d3,2017-01-15,109.120.51.0/24,2015-12-07,email-clicked,1,f,f,20000
d3,2017-01-14,109.120.59.0/24,2015-12-07,email-clicked,1,f,f,20000
d3,2017-01-14,109.120.59.0/24,2015-12-07,email-clicked,1,f,f,20000
d3,2017-01-11,109.120.63.0/24,2015-12-07,email-clicked,1,f,f,20000
m1,2017-01-12,109.161.192.0/24,2015-03-02,email-clicked,1,f,f,19500
m1,2016-05-30,109.167.253.0/24,2015-03-02,email-clicked,1,f,f,19500
m1,2016-12-15,109.171.16.0/24,2015-03-02,email-clicked,1,f,f,19500
